date;value;unit;name;v_code
02/04/2025;27.4570;1;Катарский риал;R01355
02/05/2025;27.0697;1;Катарский риал;R01355
02/06/2025;26.9384;1;Катарский риал;R01355
02/07/2025;26.6237;1;Катарский риал;R01355
02/08/2025;26.7242;1;Катарский риал;R01355
01/31/2025;11.2071;10;Сом;R01370
02/01/2025;11.1848;10;Сом;R01370
02/04/2025;11.4286;10;Сом;R01370
02/05/2025;11.2674;10;Сом;R01370
02/06/2025;11.2128;10;Сом;R01370
02/07/2025;11.0818;10;Сом;R01370
02/08/2025;11.1236;10;Сом;R01370
01/31/2025;13.3729;1;Юань;R01375
02/01/2025;13.2638;1;Юань;R01375
02/04/2025;13.4095;1;Юань;R01375
02/05/2025;13.2985;1;Юань;R01375
02/06/2025;13.2490;1;Юань;R01375
02/07/2025;13.0503;1;Юань;R01375
02/08/2025;13.2365;1;Юань;R01375
01/31/2025;52.5807;10;Молдавский лей;R01500
02/01/2025;52.3713;10;Молдавский лей;R01500
02/04/2025;53.3862;10;Молдавский лей;R01500
02/05/2025;52.0705;10;Молдавский лей;R01500
02/06/2025;52.2528;10;Молдавский лей;R01500
02/07/2025;52.0090;10;Молдавский лей;R01500
02/08/2025;51.8710;10;Молдавский лей;R01500
01/31/2025;55.4960;1;Новозеландский доллар;R01530
02/01/2025;55.0430;1;Новозеландский доллар;R01530
02/04/2025;55.4136;1;Новозеландский доллар;R01530
02/05/2025;55.3660;1;Новозеландский доллар;R01530
02/06/2025;55.4553;1;Новозеландский доллар;R01530
02/07/2025;54.8077;1;Новозеландский доллар;R01530
02/08/2025;55.2188;1;Новозеландский доллар;R01530
01/31/2025;86.5030;10;Норвежская крона;R01535
02/01/2025;86.5130;10;Норвежская крона;R01535
02/04/2025;88.4963;10;Норвежская крона;R01535
02/05/2025;86.4224;10;Норвежская крона;R01535
02/06/2025;86.4604;10;Норвежская крона;R01535
02/07/2025;86.5519;10;Норвежская крона;R01535
02/08/2025;86.4416;10;Норвежская крона;R01535
01/31/2025;24.2632;1;Злотый;R01565
02/01/2025;24.1056;1;Злотый;R01565
02/04/2025;24.1689;1;Злотый;R01565
02/05/2025;24.1126;1;Злотый;R01565
02/06/2025;24.2556;1;Злотый;R01565
02/07/2025;23.8619;1;Злотый;R01565
02/08/2025;24.1254;1;Злотый;R01565
01/31/2025;20.4824;1;Румынский лей;R01585
02/01/2025;20.3946;1;Румынский лей;R01585
02/04/2025;20.5666;1;Румынский лей;R01585
02/05/2025;20.4554;1;Румынский лей;R01585
02/06/2025;20.5447;1;Румынский лей;R01585
02/07/2025;20.1762;1;Румынский лей;R01585
02/08/2025;20.2912;1;Румынский лей;R01585
01/31/2025;20.4824;1;Румынский лей;R01585F
02/01/2025;20.3946;1;Румынский лей;R01585F
02/04/2025;20.5666;1;Румынский лей;R01585F
02/05/2025;20.4554;1;Румынский лей;R01585F
02/06/2025;20.5447;1;Румынский лей;R01585F
02/07/2025;20.1762;1;Румынский лей;R01585F
02/08/2025;20.2912;1;Румынский лей;R01585F
01/31/2025;127.9157;1;СДР (специальные права заимствования);R01589
02/01/2025;127.6772;1;СДР (специальные права заимствования);R01589
02/04/2025;130.3091;1;СДР (специальные права заимствования);R01589
02/05/2025;127.8631;1;СДР (специальные права заимствования);R01589
02/06/2025;127.6194;1;СДР (специальные права заимствования);R01589
02/07/2025;126.7394;1;СДР (специальные права заимствования);R01589
02/08/2025;126.8987;1;СДР (специальные права заимствования);R01589
01/31/2025;72.4576;1;Сингапурский доллар;R01625
02/01/2025;72.1744;1;Сингапурский доллар;R01625
02/04/2025;73.0526;1;Сингапурский доллар;R01625
02/05/2025;72.4885;1;Сингапурский доллар;R01625
02/06/2025;72.5049;1;Сингапурский доллар;R01625
02/07/2025;71.7695;1;Сингапурский доллар;R01625
02/08/2025;71.9925;1;Сингапурский доллар;R01625
01/31/2025;89.8678;10;Сомони;R01670
02/01/2025;89.5358;10;Сомони;R01670
02/04/2025;91.4796;10;Сомони;R01670
02/05/2025;90.0566;10;Сомони;R01670
02/06/2025;89.6238;10;Сомони;R01670
02/07/2025;88.5455;10;Сомони;R01670
02/08/2025;88.8992;10;Сомони;R01670
01/31/2025;29.0268;10;Бат;R01675
02/01/2025;29.0653;10;Бат;R01675
02/04/2025;29.3364;10;Бат;R01675
02/05/2025;29.0660;10;Бат;R01675
02/06/2025;29.1113;10;Бат;R01675
02/07/2025;28.7875;10;Бат;R01675
02/08/2025;28.8731;10;Бат;R01675
01/31/2025;27.4229;10;Турецкая лира;R01700J
02/01/2025;27.3572;10;Турецкая лира;R01700J
02/04/2025;27.9209;10;Турецкая лира;R01700J
02/05/2025;27.4203;10;Турецкая лира;R01700J
02/06/2025;27.2765;10;Турецкая лира;R01700J
02/07/2025;26.9941;10;Турецкая лира;R01700J
02/08/2025;27.1225;10;Турецкая лира;R01700J
01/31/2025;28.0018;1;Туркменский манат;R01710
02/01/2025;27.9459;1;Туркменский манат;R01710
02/04/2025;28.5552;1;Туркменский манат;R01710
02/05/2025;28.1525;1;Туркменский манат;R01710
02/06/2025;28.0159;1;Туркменский манат;R01710
02/07/2025;27.6887;1;Туркменский манат;R01710
02/08/2025;27.7932;1;Туркменский манат;R01710
01/31/2025;28.0018;1;Новый туркменский манат;R01710A
02/01/2025;27.9459;1;Новый туркменский манат;R01710A
02/04/2025;28.5552;1;Новый туркменский манат;R01710A
02/05/2025;28.1525;1;Новый туркменский манат;R01710A
02/06/2025;28.0159;1;Новый туркменский манат;R01710A
02/07/2025;27.6887;1;Новый туркменский манат;R01710A
02/08/2025;27.7932;1;Новый туркменский манат;R01710A
01/31/2025;75.5734;10000;Узбекский сум;R01717
02/01/2025;75.4886;10000;Узбекский сум;R01717
02/04/2025;77.0273;10000;Узбекский сум;R01717
02/05/2025;75.8826;10000;Узбекский сум;R01717
02/06/2025;75.4337;10000;Узбекский сум;R01717
02/07/2025;74.6307;10000;Узбекский сум;R01717
02/08/2025;75.0019;10000;Узбекский сум;R01717
01/31/2025;23.3741;10;Гривна;R01720
02/01/2025;23.3861;10;Гривна;R01720
02/04/2025;23.9521;10;Гривна;R01720
02/05/2025;23.5778;10;Гривна;R01720
02/06/2025;23.4831;10;Гривна;R01720
02/07/2025;23.2631;10;Гривна;R01720
02/08/2025;23.4459;10;Гривна;R01720
01/31/2025;40.5403;10;Чешская крона;R01760
02/01/2025;40.5181;10;Чешская крона;R01760
02/04/2025;41.2750;10;Чешская крона;R01760
02/05/2025;40.1244;10;Чешская крона;R01760
02/06/2025;40.2709;10;Чешская крона;R01760
02/07/2025;40.1635;10;Чешская крона;R01760
02/08/2025;40.0990;10;Чешская крона;R01760
01/31/2025;88.9418;10;Шведская крона;R01770
02/01/2025;88.7118;10;Шведская крона;R01770
02/04/2025;90.5274;10;Шведская крона;R01770
02/05/2025;88.1747;10;Шведская крона;R01770
02/06/2025;88.7550;10;Шведская крона;R01770
02/07/2025;88.9218;10;Шведская крона;R01770
02/08/2025;89.0187;10;Шведская крона;R01770
01/31/2025;107.9720;1;Швейцарский франк;R01775
02/01/2025;107.3899;1;Швейцарский франк;R01775
02/04/2025;108.9300;1;Швейцарский франк;R01775
02/05/2025;108.3501;1;Швейцарский франк;R01775
02/06/2025;108.6489;1;Швейцарский франк;R01775
02/07/2025;107.0597;1;Швейцарский франк;R01775
02/08/2025;107.4638;1;Швейцарский франк;R01775
01/31/2025;87.1849;100;Сербский динар;R01805F
02/01/2025;86.7700;100;Сербский динар;R01805F
02/04/2025;87.4656;100;Сербский динар;R01805F
02/05/2025;86.6443;100;Сербский динар;R01805F
02/06/2025;86.9276;100;Сербский динар;R01805F
02/07/2025;85.9646;100;Сербский динар;R01805F
02/08/2025;86.2247;100;Сербский динар;R01805F
01/31/2025;52.9663;10;Рэнд;R01810
02/01/2025;52.6119;10;Рэнд;R01810
02/04/2025;52.7996;10;Рэнд;R01810
02/05/2025;52.5667;10;Рэнд;R01810
02/06/2025;52.6654;10;Рэнд;R01810
02/07/2025;51.9666;10;Рэнд;R01810
02/08/2025;52.7860;10;Рэнд;R01810
01/31/2025;68.1972;1000;Вона;R01815
02/01/2025;68.2416;1000;Вона;R01815
02/04/2025;68.7841;1000;Вона;R01815
02/05/2025;67.0662;1000;Вона;R01815
02/06/2025;67.1246;1000;Вона;R01815
02/07/2025;66.8348;1000;Вона;R01815
02/08/2025;67.2215;1000;Вона;R01815
01/31/2025;63.3320;100;Иена;R01820
02/01/2025;63.3776;100;Иена;R01820
02/04/2025;64.1897;100;Иена;R01820
02/05/2025;63.4554;100;Иена;R01820
02/06/2025;63.6725;100;Иена;R01820
02/07/2025;63.5228;100;Иена;R01820
02/08/2025;64.3276;100;Иена;R01820
