date;name;value;unit;v_code
02/06/2025;Сом;11.2128;10;R01370
02/07/2025;Сом;11.0818;10;R01370
02/08/2025;Сом;11.1236;10;R01370
01/30/2025;Юань;13.3817;1;R01375
01/31/2025;Юань;13.3729;1;R01375
02/01/2025;Юань;13.2638;1;R01375
02/04/2025;Юань;13.4095;1;R01375
02/05/2025;Юань;13.2985;1;R01375
02/06/2025;Юань;13.2490;1;R01375
02/07/2025;Юань;13.0503;1;R01375
02/08/2025;Юань;13.2365;1;R01375
01/30/2025;Молдавский лей;52.6505;10;R01500
01/31/2025;Молдавский лей;52.5807;10;R01500
02/01/2025;Молдавский лей;52.3713;10;R01500
02/04/2025;Молдавский лей;53.3862;10;R01500
02/05/2025;Молдавский лей;52.0705;10;R01500
02/06/2025;Молдавский лей;52.2528;10;R01500
02/07/2025;Молдавский лей;52.0090;10;R01500
02/08/2025;Молдавский лей;51.8710;10;R01500
01/30/2025;Новозеландский доллар;55.4996;1;R01530
01/31/2025;Новозеландский доллар;55.4960;1;R01530
02/01/2025;Новозеландский доллар;55.0430;1;R01530
02/04/2025;Новозеландский доллар;55.4136;1;R01530
02/05/2025;Новозеландский доллар;55.3660;1;R01530
02/06/2025;Новозеландский доллар;55.4553;1;R01530
02/07/2025;Новозеландский доллар;54.8077;1;R01530
02/08/2025;Новозеландский доллар;55.2188;1;R01530
01/30/2025;Норвежская крона;86.7161;10;R01535
01/31/2025;Норвежская крона;86.5030;10;R01535
02/01/2025;Норвежская крона;86.5130;10;R01535
02/04/2025;Норвежская крона;88.4963;10;R01535
02/05/2025;Норвежская крона;86.4224;10;R01535
02/06/2025;Норвежская крона;86.4604;10;R01535
02/07/2025;Норвежская крона;86.5519;10;R01535
02/08/2025;Норвежская крона;86.4416;10;R01535
01/30/2025;Злотый;24.2348;1;R01565
01/31/2025;Злотый;24.2632;1;R01565
02/01/2025;Злотый;24.1056;1;R01565
02/04/2025;Злотый;24.1689;1;R01565
02/05/2025;Злотый;24.1126;1;R01565
02/06/2025;Злотый;24.2556;1;R01565
02/07/2025;Злотый;23.8619;1;R01565
02/08/2025;Злотый;24.1254;1;R01565
01/30/2025;Румынский лей;20.4863;1;R01585
01/31/2025;Румынский лей;20.4824;1;R01585
02/01/2025;Румынский лей;20.3946;1;R01585
02/04/2025;Румынский лей;20.5666;1;R01585
02/05/2025;Румынский лей;20.4554;1;R01585
02/06/2025;Румынский лей;20.5447;1;R01585
02/07/2025;Румынский лей;20.1762;1;R01585
02/08/2025;Румынский лей;20.2912;1;R01585
01/30/2025;Румынский лей;20.4863;1;R01585F
01/31/2025;Румынский лей;20.4824;1;R01585F
02/01/2025;Румынский лей;20.3946;1;R01585F
02/04/2025;Румынский лей;20.5666;1;R01585F
02/05/2025;Румынский лей;20.4554;1;R01585F
02/06/2025;Румынский лей;20.5447;1;R01585F
02/07/2025;Румынский лей;20.1762;1;R01585F
02/08/2025;Румынский лей;20.2912;1;R01585F
01/30/2025;СДР (специальные права заимствования);128.0005;1;R01589
01/31/2025;СДР (специальные права заимствования);127.9157;1;R01589
02/01/2025;СДР (специальные права заимствования);127.6772;1;R01589
02/04/2025;СДР (специальные права заимствования);130.3091;1;R01589
02/05/2025;СДР (специальные права заимствования);127.8631;1;R01589
02/06/2025;СДР (специальные права заимствования);127.6194;1;R01589
02/07/2025;СДР (специальные права заимствования);126.7394;1;R01589
02/08/2025;СДР (специальные права заимствования);126.8987;1;R01589
01/30/2025;Сингапурский доллар;72.4624;1;R01625
01/31/2025;Сингапурский доллар;72.4576;1;R01625
02/01/2025;Сингапурский доллар;72.1744;1;R01625
02/04/2025;Сингапурский доллар;73.0526;1;R01625
02/05/2025;Сингапурский доллар;72.4885;1;R01625
02/06/2025;Сингапурский доллар;72.5049;1;R01625
02/07/2025;Сингапурский доллар;71.7695;1;R01625
02/08/2025;Сингапурский доллар;71.9925;1;R01625
01/30/2025;Сомони;89.7272;10;R01670
01/31/2025;Сомони;89.8678;10;R01670
